cbsa_code,city,state,population,burnout_score,rank,of_cities,source_url
35380,"New Orleans-Metairie, LA",LA,1269117,46,1,50,https://officeblues.net/burnout-index/new-orleans-la
29820,"Las Vegas-Henderson-Paradise, NV",NV,2265461,43,2,50,https://officeblues.net/burnout-index/las-vegas-nv
32820,"Memphis, TN-MS-AR",TN,1337082,43,3,50,https://officeblues.net/burnout-index/memphis-tn
46060,"Tucson, AZ",AZ,1059473,39,4,50,https://officeblues.net/burnout-index/tucson-az
35620,"New York-Newark-Jersey City, NY-NJ-PA",NY,19617285,38,5,50,https://officeblues.net/burnout-index/new-york-ny
17410,"Cleveland-Elyria, OH",OH,2009321,38,6,50,https://officeblues.net/burnout-index/cleveland-oh
16980,"Chicago-Naperville-Elgin, IL-IN-WI",IL,9509934,36,7,50,https://officeblues.net/burnout-index/chicago-il
40140,"Riverside-San Bernardino-Ontario, CA",CA,4599839,36,8,50,https://officeblues.net/burnout-index/riverside-ca
42660,"Seattle-Tacoma-Bellevue, WA",WA,4044837,36,9,50,https://officeblues.net/burnout-index/seattle-wa
45300,"Tampa-St. Petersburg-Clearwater, FL",FL,3234820,36,10,50,https://officeblues.net/burnout-index/tampa-fl
40900,"Sacramento-Roseville-Folsom, CA",CA,2399935,36,11,50,https://officeblues.net/burnout-index/sacramento-ca
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",FL,6183199,35,12,50,https://officeblues.net/burnout-index/miami-fl
39300,"Providence-Warwick, RI-MA",RI,1677803,35,13,50,https://officeblues.net/burnout-index/providence-ri
13820,"Birmingham-Hoover, AL",AL,1163959,35,14,50,https://officeblues.net/burnout-index/birmingham-al
31080,"Los Angeles-Long Beach-Anaheim, CA",CA,13200998,34,15,50,https://officeblues.net/burnout-index/los-angeles-ca
36740,"Orlando-Kissimmee-Sanford, FL",FL,2763972,34,16,50,https://officeblues.net/burnout-index/orlando-fl
38300,"Pittsburgh, PA",PA,2422725,34,17,50,https://officeblues.net/burnout-index/pittsburgh-pa
15380,"Buffalo-Cheektowaga, NY",NY,1218642,34,18,50,https://officeblues.net/burnout-index/buffalo-ny
26420,"Houston-The Woodlands-Sugar Land, TX",TX,7340872,33,19,50,https://officeblues.net/burnout-index/houston-tx
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,6385162,33,20,50,https://officeblues.net/burnout-index/washington-dc
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,6245051,33,21,50,https://officeblues.net/burnout-index/philadelphia-pa
14460,"Boston-Cambridge-Newton, MA-NH",MA,4919179,33,22,50,https://officeblues.net/burnout-index/boston-ma
