soc,title,p25_usd,median_usd,p75_usd,p90_usd,source_url
13-2011,Accountants and Auditors,67020,83680,109810,144090,https://officeblues.net/salaries/accountants-and-auditors-13-2011
15-2011,Actuaries,97680,130000,170650,215100,https://officeblues.net/salaries/actuaries-15-2011
29-1291,Acupuncturists,55380,76040,102280,161470,https://officeblues.net/salaries/acupuncturists-29-1291
51-9191,Adhesive Bonding Machine Operators and Tenders,37220,46460,53610,60810,https://officeblues.net/salaries/adhesive-bonding-machine-operators-and-tenders-51-9191
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",81140,117860,159680,207480,https://officeblues.net/salaries/administrative-law-judges-adjudicators-and-hearing-officers-23-1021
11-3012,Administrative Services Managers,86460,114130,157420,207720,https://officeblues.net/salaries/administrative-services-managers-11-3012
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",49100,61540,77690,98030,https://officeblues.net/salaries/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors-25-3011
11-2011,Advertising and Promotions Managers,91370,133660,201050,286240,https://officeblues.net/salaries/advertising-and-promotions-managers-11-2011
41-3011,Advertising Sales Agents,47020,64820,99990,146010,https://officeblues.net/salaries/advertising-sales-agents-41-3011
17-3021,Aerospace Engineering and Operations Technologists and Technicians,67680,82890,111280,125160,https://officeblues.net/salaries/aerospace-engineering-and-operations-technologists-and-technicians-17-3021
17-2011,Aerospace Engineers,106110,134960,169690,205890,https://officeblues.net/salaries/aerospace-engineers-17-2011
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",63670,82890,146430,284570,https://officeblues.net/salaries/agents-and-business-managers-of-artists-performers-and-athletes-13-1011
17-2021,Agricultural Engineers,82260,98590,124880,166460,https://officeblues.net/salaries/agricultural-engineers-17-2021
45-2091,Agricultural Equipment Operators,36810,41730,48100,58650,https://officeblues.net/salaries/agricultural-equipment-operators-45-2091
45-2011,Agricultural Inspectors,42330,49940,64500,79580,https://officeblues.net/salaries/agricultural-inspectors-45-2011
25-1041,"Agricultural Sciences Teachers, Postsecondary",66410,98700,126850,163150,https://officeblues.net/salaries/agricultural-sciences-teachers-postsecondary-25-1041
19-4012,Agricultural Technicians,40950,49630,63630,76480,https://officeblues.net/salaries/agricultural-technicians-19-4012
45-2099,"Agricultural Workers, All Other",33140,39850,53290,76940,https://officeblues.net/salaries/agricultural-workers-all-other-45-2099
53-2021,Air Traffic Controllers,104520,148080,190570,215610,https://officeblues.net/salaries/air-traffic-controllers-53-2021
53-1041,Aircraft Cargo Handling Supervisors,49820,58170,78530,92160,https://officeblues.net/salaries/aircraft-cargo-handling-supervisors-53-1041
49-3011,Aircraft Mechanics and Service Technicians,62630,79870,99130,128890,https://officeblues.net/salaries/aircraft-mechanics-and-service-technicians-49-3011
53-6032,Aircraft Service Attendants,35740,40450,46830,57610,https://officeblues.net/salaries/aircraft-service-attendants-53-6032
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",58600,65380,83410,107500,https://officeblues.net/salaries/aircraft-structure-surfaces-rigging-and-systems-assemblers-51-2011
53-2022,Airfield Operations Specialists,42000,56850,77340,102120,https://officeblues.net/salaries/airfield-operations-specialists-53-2022
53-2011,"Airline Pilots, Copilots, and Flight Engineers",182280,232140,384440,463830,https://officeblues.net/salaries/airline-pilots-copilots-and-flight-engineers-53-2011
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",30750,35450,38410,45960,https://officeblues.net/salaries/ambulance-drivers-and-attendants-except-emergency-medical-technicians-53-3011
39-3091,Amusement and Recreation Attendants,27660,32150,36590,42490,https://officeblues.net/salaries/amusement-and-recreation-attendants-39-3091
29-1211,Anesthesiologists,207000,391490,490530,557130,https://officeblues.net/salaries/anesthesiologists-29-1211
45-2021,Animal Breeders,44320,51130,62080,90550,https://officeblues.net/salaries/animal-breeders-45-2021
39-2021,Animal Caretakers,29820,35360,40050,50060,https://officeblues.net/salaries/animal-caretakers-39-2021
33-9011,Animal Control Workers,37750,45660,57060,68070,https://officeblues.net/salaries/animal-control-workers-33-9011
19-1011,Animal Scientists,49770,68940,103300,166000,https://officeblues.net/salaries/animal-scientists-19-1011
39-2011,Animal Trainers,33740,39990,53580,75490,https://officeblues.net/salaries/animal-trainers-39-2011
19-3091,Anthropologists and Archeologists,59400,70770,89670,108060,https://officeblues.net/salaries/anthropologists-and-archeologists-19-3091
25-1061,"Anthropology and Archeology Teachers, Postsecondary",75200,99650,128750,171310,https://officeblues.net/salaries/anthropology-and-archeology-teachers-postsecondary-25-1061
23-1022,"Arbitrators, Mediators, and Conciliators",57360,75530,108000,155440,https://officeblues.net/salaries/arbitrators-mediators-and-conciliators-23-1022
17-1011,"Architects, Except Landscape and Naval",77960,99280,126550,161420,https://officeblues.net/salaries/architects-except-landscape-and-naval-17-1011
17-3011,Architectural and Civil Drafters,55650,66150,80870,99710,https://officeblues.net/salaries/architectural-and-civil-drafters-17-3011
11-9041,Architectural and Engineering Managers,139360,171270,212500,262760,https://officeblues.net/salaries/architectural-and-engineering-managers-11-9041
25-1031,"Architecture Teachers, Postsecondary",74970,96870,128510,159030,https://officeblues.net/salaries/architecture-teachers-postsecondary-25-1031
25-4011,Archivists,50680,64550,83020,110550,https://officeblues.net/salaries/archivists-25-4011
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",65660,85020,110710,160420,https://officeblues.net/salaries/area-ethnic-and-cultural-studies-teachers-postsecondary-25-1062
27-1011,Art Directors,82480,114850,162640,213050,https://officeblues.net/salaries/art-directors-27-1011
25-1121,"Art, Drama, and Music Teachers, Postsecondary",61620,78620,103850,163350,https://officeblues.net/salaries/art-drama-and-music-teachers-postsecondary-25-1121
27-1019,"Artists and Related Workers, All Other",42010,71240,115150,136660,https://officeblues.net/salaries/artists-and-related-workers-all-other-27-1019
19-2011,Astronomers,99920,128820,166000,195190,https://officeblues.net/salaries/astronomers-19-2011
27-2021,Athletes and Sports Competitors,36790,66710,109880,742310,https://officeblues.net/salaries/athletes-and-sports-competitors-27-2021
29-9091,Athletic Trainers,55130,62520,74630,88760,https://officeblues.net/salaries/athletic-trainers-29-9091
19-2021,Atmospheric and Space Scientists,73350,99070,129960,161890,https://officeblues.net/salaries/atmospheric-and-space-scientists-19-2021
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",77260,103170,135510,203190,https://officeblues.net/salaries/atmospheric-earth-marine-and-space-sciences-teachers-postsecondary-25-1051
27-4011,Audio and Video Technicians,46390,58100,77560,100650,https://officeblues.net/salaries/audio-and-video-technicians-27-4011
29-1181,Audiologists,79340,95780,111300,133120,https://officeblues.net/salaries/audiologists-29-1181
49-2097,Audiovisual Equipment Installers and Repairers,44490,52600,67300,84190,https://officeblues.net/salaries/audiovisual-equipment-installers-and-repairers-49-2097
53-6031,Automotive and Watercraft Service Attendants,31300,35670,39320,46060,https://officeblues.net/salaries/automotive-and-watercraft-service-attendants-53-6031
49-3021,Automotive Body and Related Repairers,45750,54890,69200,87940,https://officeblues.net/salaries/automotive-body-and-related-repairers-49-3021
49-3022,Automotive Glass Installers and Repairers,40110,47630,59550,70650,https://officeblues.net/salaries/automotive-glass-installers-and-repairers-49-3022
49-3023,Automotive Service Technicians and Mechanics,38900,50620,70430,81790,https://officeblues.net/salaries/automotive-service-technicians-and-mechanics-49-3023
49-2091,Avionics Technicians,63900,82280,99110,113680,https://officeblues.net/salaries/avionics-technicians-49-2091
39-6011,Baggage Porters and Bellhops,31200,37080,44130,51600,https://officeblues.net/salaries/baggage-porters-and-bellhops-39-6011
33-3011,Bailiffs,43720,56600,74630,96770,https://officeblues.net/salaries/bailiffs-33-3011
51-3011,Bakers,32660,37160,44360,49020,https://officeblues.net/salaries/bakers-51-3011
39-5011,Barbers,31570,38210,58960,76460,https://officeblues.net/salaries/barbers-39-5011
35-3011,Bartenders,27400,34340,47570,73770,https://officeblues.net/salaries/bartenders-35-3011
49-3091,Bicycle Repairers,36360,42780,48020,55000,https://officeblues.net/salaries/bicycle-repairers-49-3091
43-3011,Bill and Account Collectors,39010,47030,56740,65580,https://officeblues.net/salaries/bill-and-account-collectors-43-3011
43-3021,Billing and Posting Clerks,42840,48500,58290,67710,https://officeblues.net/salaries/billing-and-posting-clerks-43-3021
19-1021,Biochemists and Biophysicists,95000,127410,163460,201110,https://officeblues.net/salaries/biochemists-and-biophysicists-19-1021
17-2031,Bioengineers and Biomedical Engineers,86980,109370,136600,168180,https://officeblues.net/salaries/bioengineers-and-biomedical-engineers-17-2031
25-1042,"Biological Science Teachers, Postsecondary",64350,84620,126770,169900,https://officeblues.net/salaries/biological-science-teachers-postsecondary-25-1042
19-1029,"Biological Scientists, All Other",76800,98920,127670,168010,https://officeblues.net/salaries/biological-scientists-all-other-19-1029
19-4021,Biological Technicians,48130,57510,71520,84940,https://officeblues.net/salaries/biological-technicians-19-4021
